captured_date,market,market_name,rank,rank_change,track_name,artist_names,artist_spotify_ids,track_spotify_id,image_url
2026-07-29,vn,Vietnam,55,1,DANCING IN THE DARK,SOOBIN,6CGGvCBHWqQ4HXtn5aLhbh,3x7Hh3zsE1wcXCU2G8l5tP,https://i.scdn.co/image/ab67616d00001e026633cc43560566dbdaa38d99
2026-07-29,vn,Vietnam,56,7,vaicaunoicokhiennguoithaydoi,GREY D; tlinh,6d0dLenjy5CnR5ZMn2agiV; 3diftVOq7aEIebXKkC34oR,25h0TqC9H3BcMA7KjK5nHK,https://i.scdn.co/image/ab67616d00001e0294df376aa7f0890380ea4688
2026-07-29,vn,Vietnam,57,3,Anh Muốn Nhìn Thấy Em,The Wind; Dangrangto,5mPRDRL2rclNaPJXOg56Jy; 5xY6E5PMZNtz9jDvxTRiGI,5VGOYjxkEaf19LoRPIolD2,https://i.scdn.co/image/ab67616d00001e0291db5c2d5e551d1bb085b20c
2026-07-29,vn,Vietnam,58,9,"MẤT LA BÀN (feat. Pháp Kiều, Thể Thiên, DANG HONG HAI, VƯƠNG BÌNH & TorySax)","TINH HÀ ""SAY HI""; Pháp Kiều; Thể Thiên; DANG HONG HAI; VƯƠNG BÌNH; TorySax",2dLayz7AThHVFmsIbsvTKh; 13c4ijEkXNvEFoxGxwp5Su; 7Icw7iVmCgkKkfRrYvlKZU; 1f1IoKY0O8x1hlTZztHnXc; 351mBX7BjjI2plbfozIzqb; 4BI5IGyclte5NbHWwzvPRY,1tR4UxGC18cVRH6sCha0ec,https://i.scdn.co/image/ab67616d00001e02ecbec3da3fc21b7b720f652e
2026-07-29,vn,Vietnam,59,2,Mắt Môi Tay Chân (feat. Tage),RPT MCK; Tage,1zSv9qZANOWB4HRE8sxeTL; 6kFhNMq6O8P5QKdqlGMUVW,5ze1OgIdC5fJLJfpvT9Jog,https://i.scdn.co/image/ab67616d00001e02a2907cc0804151b77ca8667d
2026-07-29,vn,Vietnam,60,4,Phép Màu - Đàn Cá Gỗ Original Soundtrack,MAYDAYs; Minh Tốc & Lam,2iYUs3FoNodbZXKf4mkjGM; 27RoKwun6jKycKbH2iYUFU,1DVYafsLmcQySKkJnY4RCs,https://i.scdn.co/image/ab67616d00001e02c51258e41841d5b0365054e7
2026-07-29,vn,Vietnam,61,3,Thức Giấc,Da LAB,6zUWZmyi5MLOEynQ5wCI5f,1MiJk3dXC5jzhvLFP0dUM7,https://i.scdn.co/image/ab67616d00001e02fea8333dc89ceb644766ab5b
2026-07-29,vn,Vietnam,62,13,Cơn Mưa Cuối,JustaTee; Binz,3rjcQ5VIWCN4q7UFetzdeO; 2nSO7JYDbJrYbJmP39qUzj,6E3P4uOfKHYXJLK6Q3s0Tj,https://i.scdn.co/image/ab67616d00001e0222612841829252b1f3018c2e
2026-07-29,vn,Vietnam,63,5,10 Ngàn Năm,PC,3HD3V1nGFPwepBO7064Ij0,2pm7K14nHj2fLrpU8j9bit,https://i.scdn.co/image/ab67616d00001e0273af43a330332f0ad89d160b
2026-07-29,vn,Vietnam,64,2,Nguyễn Văn Mười,RPT MCK,1zSv9qZANOWB4HRE8sxeTL,1ap1uhhvWmyZDJZ0HBWpvo,https://i.scdn.co/image/ab67616d00001e02a2907cc0804151b77ca8667d
2026-07-29,vn,Vietnam,65,12,Anh Đã Quen Với Cô Đơn,SOOBIN,6CGGvCBHWqQ4HXtn5aLhbh,39KWnPNEvbXt423CzjvBfA,https://i.scdn.co/image/ab67616d00001e022922307c16bb852a0849bea0
2026-07-29,vn,Vietnam,66,Re-Entry,HONGKONG1,Nguyễn Trọng Tài; Don Raemo; Double X,2UCPMrvFm42t3w5duYfQHl; 4M86uhyARnHypunU4dhRqG; 1mOcX2DsOhhWYDIgeRXkmm,6UFvSmKzCZ16fxsybf4PhE,https://i.scdn.co/image/ab67616d00001e02e6508f2160d972cc736776fe
2026-07-29,vn,Vietnam,67,20,MOVE ON,Anh Trai Vượt Ngàn Chông Gai; Hoàng Tôn; Osad; Thái Lê Minh Hiếu,1NVwSzuIbuPJEGWhUQRlnv; 6xRZoWlE9twEkMC5NW4Z9f; 6sJBvMCAi9NuNCxI9RDYDW; 06poxdxQLKoN1WqCvk4qcP,5jCSifehmtV2KDWLoXgA8F,https://i.scdn.co/image/ab67616d00001e020c0c7ddc27dee81663a541ce
2026-07-29,vn,Vietnam,68,9,hoá ra…,GREY D,6d0dLenjy5CnR5ZMn2agiV,0EGwksIbRx7VflNBzuIBvc,https://i.scdn.co/image/ab67616d00001e02232febcafd911a1addb774ae
2026-07-29,vn,Vietnam,69,8,Nếu Những Tiếc Nuối,Vũ.,57g2v7gJZepcwsuwssIfZs,2dPJtlvoa3GDowCh035M8P,https://i.scdn.co/image/ab67616d00001e026f76636916ae7d5d930b1656
2026-07-29,vn,Vietnam,70,5,3D (feat. Jack Harlow),Jung Kook; Jack Harlow,6HaGTQPmzraVmaVxvz6EUc; 2LIk90788K0zvyj2JJVwkJ,01qFKNWq73UfEslI0GvumE,https://i.scdn.co/image/ab67616d00001e0299583bb32b47e87d55c6064b
2026-07-29,vn,Vietnam,71,13,Người Đầu Tiên,Juky San; buitruonglinh,51wGpVg4Z3lv1IjuZAQjXn; 7Cp2hGcriAaDUAWpXnSEwm,3dbfL7nHOZlM4adzLHNnB3,https://i.scdn.co/image/ab67616d00001e029b8f9d96ac892ebf1ad3cc56
2026-07-29,vn,Vietnam,72,5,Standing Next to You,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,2KslE17cAJNHTsI2MI0jb2,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316
2026-07-29,vn,Vietnam,73,32,đôi mắt kẻ tình si,GREY D; MIN,6d0dLenjy5CnR5ZMn2agiV; 0IdAjS2LRieBR3gzoazdAw,1ordU9Ts6JNRalwVoXgJd6,https://i.scdn.co/image/ab67616d00001e02232febcafd911a1addb774ae
2026-07-29,vn,Vietnam,74,3,hate that i made you love me,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,20jbSiX29FDX4oQxBXyUEi,https://i.scdn.co/image/ab67616d00001e02b622d42c30697e1e1414343c
2026-07-29,vn,Vietnam,75,3,Bạn Đời,Karik; GDucky,2Bwp23pD4UVsSkchHDZw4F; 3T3DOlgOEkr243zdzFCrXW,0fGJiHH6xSUJU1MAVjxq5m,https://i.scdn.co/image/ab67616d00001e02b37fa6ada1fe1a79194db5a0
2026-07-29,vn,Vietnam,76,24,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,31VNCmwspR7nVJ6kruUuJt,https://i.scdn.co/image/ab67616d00001e02a1bc26cdd8eecd89da3adc39
2026-07-29,vn,Vietnam,77,3,Bông Hoa Đẹp Nhất,Quân A.P,2NRcG7E1j2sSi8vnUzCcpi,4TyQKEifYDWTfTSRwpxlYI,https://i.scdn.co/image/ab67616d00001e025a0419100f999929e19c6ca7
2026-07-29,vn,Vietnam,78,2,Từng Ngày Yêu Em,buitruonglinh,7Cp2hGcriAaDUAWpXnSEwm,3Ids3RXurYBgySph53qWnB,https://i.scdn.co/image/ab67616d00001e02fe0cbef064f18008462d29ef
